user,file_type,file_format,data_tier,application,data_stream,run_type,file_count,total_file_size_GB,total_event_count,detector.hv_value,artdaq-core.timestamp,artdaq-core.version,artdaq.timestamp,artdaq.version,dune-artdaq.timestamp,dune-artdaq.version,dune-raw-data.timestamp,dune-raw-data.version,dataset.tag,DUNE.campaign,DUNE.poms_campaign_id,DUNE.production_status,DUNE_MC.detector_type,DUNE_MC.electron_lifetime,DUNE_MC.with_cosmics,MC.with_cosmics,detector.hv_status,DUNE.requestid,DUNE.generators,DUNE_MC.beam_flux_ID,DUNE_MC.geometry_version,DUNE_MC.name,DUNE_MC.neutrino_flavors,DUNE_MC.TopVolume,LBNF_MC.HornCurrent,NearDetector_MC.OffAxisPosition,beam.momentum,beam.polarity,DUNE_MC.beam_energy,DUNE_MC.liquid_flow,DUNE_MC.space_charge,MC.liquid_flow,MC.space_charge,data_quality.online_good_run_list,DUNE_MC.generators,art.variation,DUNE.fcl_name,DUNE.fcl_path,DUNE.fcl_version_tag,info.cpusec,info.memory,info.physicsgroup,info.wallsec
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,2198,18067,128326,144,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,2628,18719,164484,130,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,6021,17936,646056,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,detector-simulated,"{'family': 'art', 'name': 'detsim', 'version': 'v08_03_00'}",out1,physics,66444,21843,2729800,,,,,,,,,,poms_depends_438864_1,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,mc,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'development'}",out1,physics,28218,330959,9309210,,,,,,,,,,,mcc11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,1681,13852,102837,38,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",cosmics,protodune-sp,1978,16297,119397,77,18-Jan-2019-15:04:13-UTC,v3_04_05-12-g07c4dc2,18-Jan-2019-15:04:16-UTC,merge_snapshot_15Nov18-64-gbd7a816,18-Jan-2019-15:04:06-UTC,v1_16_00b,18-Jan-2019-15:04:04-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,unknown,raw,"{'family': 'art', 'name': 'dune-artdaq', 'version': 'v1_16_00b'}",calibration,protodune-sp,40503,82620,30250879,,31-Jan-2019-09:35:58-UTC,pdune_11Jan2019,31-Jan-2019-09:36:01-UTC,pdune_11Jan2019,31-Jan-2019-09:35:51-UTC,v1_16_00b,31-Jan-2019-09:35:49-UTC,v1_17_06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,920,2552,97289,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunepro,detector,artroot,full-reconstructed,"{'family': 'art', 'name': 'reco', 'version': 'v07_08_00_05'}",physics,protodune-sp,1639,4198,174810,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
